,city,latitud,longitud,temperature,wind_speed,cloudiness,humidity
98,ahipara,-35.17,173.16,292.04,3.73,0,main.humidity
99,port lincoln,-34.72,135.86,288.139,12.37,38,main.humidity
100,yellowknife,62.45,-114.38,286.15,3.1,75,main.humidity
101,burgersdorp,-30.99,26.32,279.089,1.58,0,main.humidity
102,batagay,67.65,134.64,300.479,3.18,67,main.humidity
103,toora-khem,52.47,96.11,286.429,1.75,100,main.humidity
104,camacha,33.08,-16.33,294.15,7.2,75,main.humidity
105,airai,-8.93,125.41,301.209,1.42,82,main.humidity
106,carbondale,38.82,-95.69,298.15,2.6,1,main.humidity
107,korgen,66.08,13.83,284.26,0.51,9,main.humidity
108,hilo,19.71,-155.08,301.15,2.6,90,main.humidity
109,ostrovnoy,68.05,39.51,277.309,9.98,100,main.humidity
110,kaitangata,-46.28,169.85,285.93,2.68,62,main.humidity
111,ribeira grande,38.52,-28.7,294.269,2.88,0,main.humidity
112,hofn,64.25,-15.21,277.039,0.93,100,main.humidity
113,saskylakh,71.97,114.09,289.189,2.94,73,main.humidity
114,buraydah,26.33,43.97,298.15,2.6,0,main.humidity
115,portland,43.66,-70.25,291.48,2.1,1,main.humidity
116,lompoc,34.64,-120.46,293.71,4.1,90,main.humidity
117,eyemouth,55.87,-2.09,288.15,0.5,100,main.humidity
118,saint-pierre,48.95,4.24,289.15,1.3,0,main.humidity
119,kirakira,-10.46,161.92,300.819,1.95,100,main.humidity
120,nanortalik,60.14,-45.24,276.799,0.77,0,main.humidity
121,flinders,-34.58,150.85,292.04,9.8,0,main.humidity
122,aykhal,65.95,111.51,299.15,4.0,0,main.humidity
123,luang prabang,19.89,102.14,301.15,1.76,75,main.humidity
124,bethel,60.79,-161.76,296.15,4.6,20,main.humidity
125,tuktoyaktuk,69.44,-133.03,277.15,7.7,90,main.humidity
126,madison,43.07,-89.38,297.04,3.82,1,main.humidity
127,harbour breton,47.48,-55.8,283.299,4.79,92,main.humidity
128,ruwi,23.6,58.55,304.15,2.1,20,main.humidity
129,coquimbo,-29.95,-71.34,280.37,4.09,100,main.humidity
130,puerto ayora,-0.74,-90.35,294.26,3.45,67,main.humidity
131,katsuura,33.93,134.5,300.15,6.7,90,main.humidity
132,clyde river,70.47,-68.59,283.15,4.1,1,main.humidity
133,neftegorsk,52.8,51.16,288.859,4.01,2,main.humidity
134,boguchany,58.38,97.46,294.749,3.16,100,main.humidity
135,kabwe,-14.44,28.44,281.599,2.02,6,main.humidity
136,shizunai,42.33,142.37,287.369,4.97,100,main.humidity
137,bela,26.23,66.31,299.269,4.06,81,main.humidity
138,changji,32.07,116.17,302.099,1.23,2,main.humidity
139,klaksvik,62.23,-6.59,284.15,1.5,100,main.humidity
140,fortuna,40.6,-124.16,292.04,4.1,90,main.humidity
141,sitka,37.17,-99.65,298.15,4.27,7,main.humidity
142,souillac,45.6,-0.6,291.48,2.46,0,main.humidity
143,los llanos de aridane,28.66,-17.92,294.15,2.6,40,main.humidity
144,aklavik,68.22,-135.01,281.15,6.2,90,main.humidity
145,barrow,-38.31,-60.23,281.839,1.65,100,main.humidity
146,faanui,-16.48,-151.75,298.449,1.17,24,main.humidity
147,marawi,8.0,124.29,301.48,3.13,24,main.humidity
148,enying,46.93,18.25,286.779,2.97,2,main.humidity
149,hithadhoo,-0.6,73.08,302.129,4.9,100,main.humidity
150,kushima,31.5,131.29,303.15,9.3,75,main.humidity
151,bodri,23.17,81.43,297.079,5.49,100,main.humidity
152,yulara,-25.24,130.99,291.15,4.6,68,main.humidity
153,puerto quijarro,-19.0,-57.72,293.849,1.32,0,main.humidity
154,lerwick,60.15,-1.15,285.15,5.1,100,main.humidity
155,sola,-3.17,33.8,290.829,2.57,33,main.humidity
156,christchurch,-43.53,172.64,288.71,4.6,89,main.humidity
157,riyadh,24.63,46.72,300.15,2.1,0,main.humidity
158,nioki,-2.72,17.69,296.489,2.76,100,main.humidity
159,jasdan,22.04,71.2,304.82,9.66,42,main.humidity
160,athabasca,54.72,-113.29,286.549,2.08,100,main.humidity
161,alofi,-19.06,-169.92,301.15,5.7,75,main.humidity
162,anadyr,64.73,177.51,295.15,6.0,0,main.humidity
163,tongren,27.72,109.18,299.069,2.33,98,main.humidity
164,nouakchott,18.08,-15.98,297.15,4.1,94,main.humidity
165,yerbogachen,61.28,108.01,299.599,4.08,92,main.humidity
166,evanston,42.04,-87.69,302.15,6.2,20,main.humidity
167,prieta,15.58,-86.18,294.989,0.3,96,main.humidity
168,birao,10.3,22.78,296.669,2.89,100,main.humidity
169,nome,30.04,-94.42,303.71,1.02,1,main.humidity
170,kununurra,-15.77,128.74,301.15,6.2,10,main.humidity
171,te anau,-45.41,167.72,282.359,0.85,1,main.humidity
172,sistranda,63.73,8.83,283.71,5.35,75,main.humidity
173,liepaja,56.52,21.02,282.15,3.65,100,main.humidity
174,srednekolymsk,67.46,153.71,302.799,3.92,24,main.humidity
175,bathsheba,13.22,-59.52,301.15,7.2,75,main.humidity
176,puerto madero,-34.61,-58.36,285.15,2.6,0,main.humidity
177,acapulco,16.86,-99.88,298.15,3.6,90,main.humidity
178,ambovombe,-25.18,46.09,293.969,5.87,51,main.humidity
179,nantucket,41.28,-70.1,295.37,2.1,1,main.humidity
180,port alfred,-33.59,26.89,284.82,2.07,0,main.humidity
181,port elizabeth,39.31,-74.98,297.59,1.5,1,main.humidity
182,cherskiy,68.75,161.3,302.809,3.61,23,main.humidity
183,amapa,15.09,-87.97,301.15,3.1,75,main.humidity
184,armidale,-30.51,151.67,285.93,5.81,0,main.humidity
185,hay river,60.82,-115.79,292.15,2.6,75,main.humidity
186,butembo,0.12,29.29,288.849,1.02,100,main.humidity
187,saint-philippe,45.36,-73.48,298.15,2.6,1,main.humidity
188,fuerte olimpo,-21.04,-57.87,292.939,2.33,0,main.humidity
189,new norfolk,-42.78,147.06,285.37,6.2,40,main.humidity
190,vila velha,-3.71,-38.6,303.15,5.7,75,main.humidity
191,darab,28.75,54.55,299.159,1.33,0,main.humidity
192,tigil,57.8,158.67,291.969,5.64,33,main.humidity
193,cidreira,-30.17,-50.22,288.069,1.68,100,main.humidity
194,gisborne,-38.66,178.02,290.93,4.02,0,main.humidity
195,lorengau,-2.02,147.27,300.049,5.81,100,main.humidity
196,date,42.53,140.93,294.82,6.2,75,main.humidity
197,kristiansund,63.12,7.73,284.15,5.1,27,main.humidity
198,novi travnik,44.17,17.66,281.15,1.0,40,main.humidity
199,fairbanks,64.84,-147.72,300.15,2.14,40,main.humidity
200,neman,32.58,-85.98,301.15,1.87,40,main.humidity
201,linxia,35.6,103.21,290.239,2.12,100,main.humidity
202,liverpool,53.41,-2.98,289.82,1.0,75,main.humidity
203,richards bay,-28.77,32.06,292.029,3.18,9,main.humidity
204,vikhorevka,56.12,101.17,296.15,6.0,20,main.humidity
205,ayagoz,47.96,80.43,292.059,9.19,0,main.humidity
206,waipawa,-39.94,176.59,285.93,3.58,19,main.humidity
207,winslow,51.94,-0.88,290.37,4.1,100,main.humidity
208,bibiani,6.45,-2.31,293.499,0.91,75,main.humidity
209,laviana,43.23,-5.53,290.37,1.5,20,main.humidity
210,boa vista,2.82,-60.67,299.15,2.1,75,main.humidity
211,adrar,27.87,-0.29,309.15,5.1,0,main.humidity
212,polgar,-38.82,-68.06,279.15,1.5,0,main.humidity
213,salalah,17.01,54.1,300.15,2.6,90,main.humidity
214,brae,60.4,-1.35,285.15,6.2,100,main.humidity
215,southbridge,42.08,-72.03,297.15,1.5,40,main.humidity
216,maragogi,-9.01,-35.22,294.229,0.9,0,main.humidity
217,brigantine,39.41,-74.36,297.59,2.6,1,main.humidity
218,puerto ayacucho,5.66,-67.63,298.15,1.77,75,main.humidity
219,abha,18.22,42.5,293.15,2.9,5,main.humidity
220,nagpur,21.15,79.08,300.15,3.1,75,main.humidity
221,roma,41.89,12.48,294.26,2.6,0,main.humidity
222,vardo,39.62,-77.74,299.82,2.66,40,main.humidity
223,zabol,31.03,61.49,305.15,15.9,0,main.humidity
224,mikhaylovsk,56.44,59.12,289.889,3.17,97,main.humidity
225,cabo san lucas,22.89,-109.91,303.71,4.1,5,main.humidity
226,vila,45.18,8.4,295.93,0.5,0,main.humidity
227,guerrero negro,27.97,-114.04,292.449,9.01,0,main.humidity
228,leningradskiy,69.38,178.42,280.599,2.65,4,main.humidity
229,cadillac,44.25,-85.4,300.15,3.6,75,main.humidity
230,yangambi,0.77,24.47,293.499,0.83,100,main.humidity
231,bambous virieux,-20.34,57.76,293.71,2.6,75,main.humidity
232,lichinga,-13.3,35.25,286.009,1.77,48,main.humidity
233,tuatapere,-46.13,167.69,284.82,1.34,7,main.humidity
234,nador,35.17,-2.93,295.15,1.0,40,main.humidity
235,jacala,21.0,-99.19,290.349,0.95,0,main.humidity
236,calvinia,-31.47,19.78,286.989,4.41,0,main.humidity
237,businga,3.34,20.89,292.709,1.23,100,main.humidity
238,oksfjord,70.24,22.35,285.15,2.1,57,main.humidity
239,batemans bay,-35.71,150.18,290.37,6.71,0,main.humidity
240,acari,-6.44,-36.64,297.239,6.35,99,main.humidity
