,city,latitud,longitud,temperature,wind_speed,cloudiness,humidity,date
96,tautira,-17.73,-149.15,300.15,5.1,20,54,1562821206
97,prado,3.75,-74.93,296.6,1.8,14,56,1562821206
98,leningradskiy,69.38,178.42,279.9,1.8,7,70,1562821207
99,wangqing,43.31,129.76,293.4,4.26,98,65,1562821207
100,san carlos,11.12,-84.78,294.82,6.71,99,6,1562821207
101,daru,-9.07,143.21,299.1,4.48,24,67,1562821208
102,kieta,-6.22,155.63,302.0,3.09,100,67,1562821208
103,bredasdorp,-34.53,20.04,281.15,0.5,0,93,1562821209
104,iralaya,15.0,-83.23,297.4,0.61,15,96,1562821209
105,anadyr,64.73,177.51,293.15,6.0,0,42,1562821209
106,vanimo,-2.67,141.3,301.1,3.24,67,72,1562821210
107,pevek,69.7,170.27,286.0,5.91,0,58,1562821210
108,katsuura,33.93,134.5,303.15,7.7,75,88,1562821211
109,labuhan,-2.54,115.51,303.1,0.46,82,70,1562821211
110,tasiilaq,65.61,-37.64,279.15,2.6,82,75,1562821211
111,port alfred,-33.59,26.89,287.04,2.68,0,80,1562821212
112,nelson bay,-32.72,152.14,293.71,11.3,0,34,1562821212
113,dangriga,16.97,-88.23,298.71,0.89,78,100,1562821212
114,bismarck,46.81,-100.78,293.15,2.6,1,77,1562821213
115,kavieng,-2.57,150.8,301.6,5.91,50,74,1562821020
116,wattegama,7.35,80.68,304.7,2.53,95,51,1562821213
117,fortuna,40.6,-124.16,291.15,3.1,90,87,1562821215
118,taoudenni,22.68,-3.98,305.5,2.76,15,29,1562821215
119,maltahohe,-24.83,16.98,278.7,0.55,0,57,1562821215
120,bajil,38.23,-2.07,284.82,0.45,0,79,1562821216
121,yumen,40.29,97.04,305.4,9.92,99,12,1562821216
122,luba,17.32,120.7,303.1,3.9,26,71,1562821217
123,aljezur,37.31,-8.8,294.82,1.51,0,63,1562821217
124,coihaique,-45.58,-72.07,276.15,2.6,95,93,1562821217
125,borovoy,63.23,52.89,285.5,2.96,96,89,1562821218
126,sale,-38.11,147.06,288.15,6.2,74,55,1562821219
127,ixtapa,20.71,-105.21,302.15,2.6,40,74,1562821219
128,chapais,49.78,-74.86,292.15,4.1,1,59,1562821219
129,san cristobal,14.68,-86.92,292.0,2.2,62,93,1562821220
130,husavik,50.56,-96.99,290.37,1.26,35,79,1562821220
131,tromso,69.65,18.96,285.15,3.1,75,76,1562821220
132,micheweni,-4.97,39.83,299.0,9.02,54,77,1562821221
133,tigil,57.8,158.67,290.5,4.65,17,60,1562821221
134,chernushka,56.5,56.08,290.8,6.36,0,80,1562821222
135,yellowknife,62.45,-114.38,285.15,3.1,75,66,1562821222
136,vestmannaeyjar,63.44,-20.27,284.6,5.09,96,78,1562821223
137,dikson,73.51,80.55,272.8,4.91,100,97,1562821223
138,huaicheng,23.91,112.19,304.1,1.57,97,65,1562821223
139,samagaltay,50.6,95.0,292.0,6.7,91,63,1562821223
140,lodja,-3.52,23.6,296.1,0.86,83,78,1562821224
